County,Population,State,mergedkeycol,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.People.1/2 Mile,Percentage of Low Income People,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,"Ethnicities.White Alone	 not Hispanic or Latino",Ethnicities.Asian Alone,Housing.Homeownership Rate,Housing.Median Value of Owner-Occupied Units,Income.Median Houseold Income,Miscellaneous.Foreign Born,Miscellaneous.Language Other than English at Home,Population.Population per Square Mile,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Total,Percentage of Minority Businesses
lawrencecounty,17415,ar,lawrencecountyar,6515,14862,0.438366303,15.4,84.1,1.2,1.8,94.8,0.3,67.3,76800,39993,0.8,1.4,29.6,0,1333,1384,0
leecounty,10424,ar,leecountyar,4860,9664,0.502897351,10.7,75.8,54.4,2.3,41.3,0.6,59.8,74000,29681,1.1,2.9,17.3,381,299,701,0.543509272
lincolncounty,14134,ar,lincolncountyar,6604,13904,0.474971231,9.7,81.1,30,4.2,64.1,0.4,77.1,76300,46596,1.8,4.5,25.2,170,470,663,0.256410256
littlerivercounty,13171,ar,littlerivercountyar,5102,12298,0.414864206,12.5,89,19.9,3.7,72.6,0.5,71.5,77900,45113,0.4,1.7,24.7,74,555,656,0.112804878
logancounty,22353,ar,logancountyar,9551,20169,0.473548515,13.3,86.2,1.5,3,90.6,2.3,73.7,99000,41466,1.5,3.5,31.6,62,1470,1575,0.039365079
lonokecounty,68356,ar,lonokecountyar,19181,60903,0.314943435,20.6,89.1,6.3,4.6,85.8,0.9,69.2,142500,59094,2.3,4.2,88.7,406,4481,5024,0.080812102
madisoncounty,15717,ar,madisoncountyar,6128,14137,0.433472448,14.2,80.6,0.9,5.9,89.3,0.8,78,120400,41682,3.5,4.6,18.8,29,1055,1131,0.025641026
marioncounty,16653,ar,marioncountyar,7004,15107,0.463626134,17.1,86.5,0.6,2.4,93.6,0.6,78.9,120700,36719,2,1.9,27.9,47,1280,1365,0.034432234
millercounty,43462,ar,millercountyar,16835,39283,0.428556882,16.8,86.5,25.4,3.6,68.3,0.5,64.6,109100,43371,2,2.5,69.5,476,2398,3029,0.157147573
mississippicounty,46480,ar,mississippicountyar,18932,37087,0.510475369,13.8,81.1,35.6,4.4,58.1,0.5,56.4,84500,39962,1.8,4,51.6,618,1572,2351,0.262866865
monroecounty,8149,ar,monroecountyar,3237,6505,0.497617218,12.7,78.9,40.2,2.6,54.3,0.8,59.9,61400,38468,0.3,1.4,13.4,135,640,819,0.164835165
montgomerycounty,9487,ar,montgomerycountyar,4029,9088,0.443331866,13.5,79.8,0.8,4.5,90.4,1.3,81.3,102800,35741,2.7,3.9,12.2,0,613,665,0
nevadacounty,8997,ar,nevadacountyar,4233,8121,0.521241226,14.6,90.4,30.9,4.7,62.3,0.5,66.9,66300,38042,0,0.2,14.6,95,478,604,0.157284768
newtoncounty,8330,ar,newtoncountyar,3471,8245,0.420982414,20.5,86.5,0.5,1.9,93.5,0.4,84.2,114700,38082,1.2,0.6,10.1,64,718,821,0.077953715
ouachitacounty,26120,ar,ouachitacountyar,11119,23111,0.48111289,14.5,86,40.1,2.6,54.7,0.5,69.1,75300,35425,0.7,2.2,35.6,322,1368,1775,0.181408451
perrycounty,10445,ar,perrycountyar,3788,9887,0.383129362,12.7,84.8,2,3.1,91.7,0.4,76.4,106300,48667,0.6,2.5,18.9,0,821,865,0
phillipscounty,21757,ar,phillipscountyar,10698,20249,0.528322386,13.8,80.3,62.3,2,34.4,0.4,48.2,70700,29320,0.4,1.2,31.3,714,751,1547,0.461538462
pikecounty,11291,ar,pikecountyar,4329,9468,0.457224335,17.3,87.4,3.5,6.6,87,0.8,78.8,84900,40401,3.6,5.3,18.8,37,944,1005,0.03681592
poinsettcounty,24583,ar,poinsettcountyar,9949,20425,0.487099143,11.1,80.3,8.3,3.3,86.2,0.3,62.9,78800,40921,1,2.3,32.4,217,1164,1441,0.150589868
polkcounty,20662,ar,polkcountyar,9350,18557,0.503852993,14.1,84.9,0.6,6.6,87.8,1,76.7,99300,37974,4.3,6.6,24.1,159,1530,1766,0.090033975
popecounty,61754,ar,popecountyar,23401,55381,0.422545638,22.8,84.5,3.3,9.6,83.4,1.2,68.9,126400,43462,5.4,7.9,76,281,4084,4601,0.06107368
prairiecounty,8715,ar,prairiecountyar,2948,6818,0.432384864,15.4,83.2,11.4,2,84.9,0.1,73.9,67400,42660,0.2,1.2,13.4,43,579,640,0.0671875
pulaskicounty,382748,ar,pulaskicountyar,118409,309423,0.382676789,34.3,90.4,37.9,6.2,51.6,2.3,58.8,157200,51749,5.5,8,503.8,9240,25014,35992,0.256723716
randolphcounty,17969,ar,randolphcountyar,6894,14740,0.46770692,13.8,82.9,1.2,2.2,92.4,0.4,71.7,87200,37218,1.8,2.5,27.6,55,1459,1560,0.03525641
salinecounty,107118,ar,salinecountyar,24634,98290,0.250625699,26.7,90.6,8.4,5.1,83.4,1.3,78.1,156800,64412,3.2,5.1,148,757,7864,8832,0.085711051
scottcounty,11233,ar,scottcountyar,5509,10202,0.539992158,9.3,79.1,0.7,7.9,84.2,3.1,73.8,76300,36092,1.6,3.4,12.6,34,647,707,0.048090523
searcycounty,8195,ar,searcycountyar,3952,7934,0.498109403,11.9,81.8,0.5,2.8,92.6,0.4,73.9,103500,36438,1,0.8,12.3,25,639,690,0.036231884
sebastiancounty,125744,ar,sebastiancountyar,39839,96673,0.412100587,21.3,84.1,7,14.8,68.7,4.7,58.8,123100,46228,9,15.1,236.4,1627,8540,11016,0.147694263
seviercounty,17058,ar,seviercountyar,7221,15720,0.459351145,12.8,76.5,4.2,34.3,56,0.6,71.4,84300,47704,16.4,32.6,30.2,151,841,1042,0.144913628
sharpcounty,17264,ar,sharpcountyar,8640,16197,0.533432117,10.2,83.5,1,2.6,92.8,0.6,77.2,80700,34671,0.8,1.1,28.6,35,1387,1449,0.024154589
st.franciscounty,28258,ar,st.franciscountyar,11801,26782,0.440631768,10.4,81.9,52.8,5.5,39.8,0.6,54.7,64600,35348,1.6,4,44.5,1073,1238,2408,0.445598007
stonecounty,12394,ar,stonecountyar,5683,11905,0.477362453,13.9,81.2,0.4,1.9,94.5,0.5,74.6,121100,38188,0.7,1.4,20.4,37,1376,1449,0.025534852
unioncounty,41639,ar,unioncountyar,15695,37513,0.418388292,21.1,84.9,33,4.2,60.7,0.7,75.4,86500,44663,1.8,4.3,40.1,657,2932,3745,0.175433912
vanburencounty,17295,ar,vanburencountyar,7757,16296,0.476006382,14.5,85.1,0.6,3.2,93.2,0.4,78.6,101700,38499,1.3,1.9,24.4,61,1558,1675,0.03641791
washingtoncounty,203065,ar,washingtoncountyar,57135,153658,0.371832251,33.3,85,3.8,17.1,70.4,2.6,52.6,173400,50451,11.1,18,215.6,2400,15226,18555,0.12934519
whitecounty,77076,ar,whitecountyar,25208,63006,0.40008888,20.9,84.4,4.6,4.4,87.7,0.9,66.1,120100,44029,3,6.2,74.5,389,5576,6198,0.062762181
woodruffcounty,7260,ar,woodruffcountyar,3276,7206,0.454621149,14,81.7,26.2,2.2,69.2,0.3,65.4,66400,32845,0.4,0.3,12.4,156,414,589,0.264855688
yellcounty,22185,ar,yellcountyar,9485,20517,0.462299556,12.8,78.2,2.1,20.5,74.6,1.4,71.5,109400,43923,9.9,19,23.9,218,1238,1507,0.144658261
alamedacounty,1510271,ca,alamedacountyca,129690,661765,0.195975913,47.4,88.4,11,22.3,30.6,32.3,53.5,769300,99406,32.5,45.6,2043.6,75026,69300,150564,0.498299726
alpinecounty,1175,ca,alpinecountyca,418,1175,0.355744681,34.5,91.2,0.4,12.3,61.3,1.6,84,365300,63750,5.1,9.7,1.6,0,115,125,0
amadorcounty,38091,ca,amadorcountyca,8320,33007,0.252067743,19.3,90,2.7,14.5,77.3,1.7,76.5,313700,62772,6,10.6,64.1,259,2453,2807,0.092269327
buttecounty,220000,ca,buttecountyca,61887,161926,0.382193101,27.2,89.2,1.9,17.2,70.9,5,59,271700,52537,7.3,15.3,134.4,1858,13644,16240,0.114408867
calaverascounty,45578,ca,calaverascountyca,12392,39836,0.311075409,18.3,90.2,1.1,13,79.9,1.9,77.8,319500,63158,4.8,7.2,44.7,291,2983,3387,0.08591674
colusacounty,21419,ca,colusacountyca,5169,15263,0.338662124,15,71.3,1.3,60.4,34.1,1.6,61,265200,59401,27,51.7,18.6,397,656,1138,0.348857645
contracostacounty,1049025,ca,contracostacountyca,118777,650852,0.182494638,42.4,89.5,9.5,26,42.7,18.3,65.9,625800,99716,25.4,35.8,1465.2,35831,53403,93083,0.384936025
delnortecounty,28610,ca,delnortecountyca,11006,25150,0.437614314,14.8,80.1,3.5,20.1,62,3.1,63.1,218800,45283,7.6,12.1,28.4,241,1367,1686,0.142941874
eldoradocounty,181058,ca,eldoradocountyca,32561,157639,0.206554216,34.3,93.4,1,13.2,77.2,4.8,75.7,460900,83377,9.2,12.2,106,2340,13840,16711,0.140027527
fresnocounty,930450,ca,fresnocountyca,245280,557625,0.439865501,21.2,76,5.8,53.8,28.6,11.1,53.3,255000,53969,21.2,44.6,156.2,30912,26343,59569,0.51892763
glenncounty,28122,ca,glenncountyca,9247,21313,0.433866654,14.2,74.8,1.3,42.5,50.5,3.1,59.4,233200,49633,18.2,38,21.4,593,1238,1880,0.315425532
humboldtcounty,134623,ca,humboldtcountyca,34652,87979,0.393866718,30.4,90.5,1.5,12.1,73.8,2.9,56.8,313200,48041,5.3,11.7,37.7,1853,10333,12821,0.144528508
imperialcounty,174528,ca,imperialcountyca,55597,114703,0.484703975,15.2,69.7,3.3,85,10,2.1,58.3,195800,47622,30.7,76.5,41.8,8501,2330,11202,0.758882342
inyocounty,18546,ca,inyocountyca,3261,12753,0.25570454,27.2,88.6,1.2,23.4,60.8,1.7,65.5,269100,57316,9.3,17.2,1.8,362,1256,1717,0.210832848
kerncounty,839631,ca,kerncountyca,219080,527748,0.415122369,16.4,74.1,6.3,54.6,32.8,5.4,58.3,213900,53350,19.9,44.2,103.3,26610,23006,51393,0.517774794
kingscounty,152982,ca,kingscountyca,35183,105685,0.332904386,14.7,73.4,7.5,55.3,31.3,4.4,52.3,215900,57848,18.9,41.5,110.1,2862,2876,6091,0.469873584
lakecounty,64665,ca,lakecountyca,21796,51566,0.422681612,15.5,85.8,2.1,22,68.9,1.4,66.4,219400,47040,8.7,16.2,51.5,639,3713,4466,0.143081057
lassencounty,34895,ca,lassencountyca,6489,30590,0.212128146,12.9,83.2,8.4,19.3,64.7,1.6,67.6,203000,56352,5.6,18.4,7.7,231,938,1236,0.186893204
losangelescounty,9818605,ca,losangelescountyca,1139072,3696268,0.308168131,32.5,79.1,9,48.6,26.1,15.4,45.8,583200,68044,34,56.6,2419.6,631218,481643,1146701,0.550464332
maderacounty,150865,ca,maderacountyca,48427,117057,0.413704435,14.6,71.9,4.2,58.8,33.2,2.6,64.1,251200,57585,20.2,45.3,70.6,3203,4524,8094,0.395725229
marincounty,252409,ca,marincountyca,15541,127637,0.121759364,59.5,93.3,2.8,16.3,71.1,6.6,63.7,995800,115246,18.1,21.9,485.1,5813,32232,39815,0.146000251
mariposacounty,18251,ca,mariposacountyca,5908,17266,0.342175374,24.6,90.6,1.3,12.1,79.3,1.6,68.4,275700,48820,5.8,9.6,12.6,189,1246,1529,0.123610203
mendocinocounty,87841,ca,mendocinocountyca,22870,58858,0.388562302,24.4,86.5,1.1,25.8,64.3,2.3,59.9,377500,51416,12.4,21.4,25.1,1518,7528,9569,0.158637266
mercedcounty,255793,ca,mercedcountyca,74716,164751,0.453508628,13.8,69.1,3.9,61,26.5,7.8,52.2,252700,53672,26.3,53.3,132.2,6912,5448,12848,0.537982565
modoccounty,9686,ca,modoccountyca,3580,8167,0.438349455,15.2,84.8,1.4,14.6,77.2,1.2,74.9,140600,45507,7.5,12.8,2.5,55,350,427,0.128805621
monocounty,14202,ca,monocountyca,3194,10582,0.301833302,28.8,88.6,0.8,26.8,65.8,2.6,64.4,312500,62260,19.7,26.3,4.7,230,1467,1750,0.131428571
montereycounty,415057,ca,montereycountyca,67785,216924,0.312482713,24.7,71.5,3.4,59.4,29.4,6.7,51,516600,71015,29.8,55.2,126.5,11087,17358,30151,0.36771583
napacounty,136484,ca,napacountyca,18586,82319,0.225780197,35.7,85.5,2.5,34.6,51.8,8.9,64.2,635900,88596,22.1,34.9,182.4,3192,10398,14236,0.224220287
nevadacounty,98764,ca,nevadacountyca,21637,85167,0.2540538,37.2,94.4,0.6,9.8,84.7,1.5,74.2,431000,66096,4.8,7.6,103.1,1029,10382,11822,0.08704111
orangecounty,3010232,ca,orangecountyca,285793,1333228,0.214361685,40.6,85.5,2.1,34,39.8,21.7,57.4,679300,90234,30.1,45.6,3807.7,145603,182028,340116,0.428098061
placercounty,348432,ca,placercountyca,48618,256259,0.189722117,39.7,94.5,1.9,14.4,71.5,8.2,71.9,471500,89691,11.4,15.5,247.6,5173,24725,31846,0.162437983
plumascounty,20007,ca,plumascountyca,3845,14671,0.262081658,23.7,95.1,1.1,9.3,83.1,1.1,72.9,242300,55359,4.2,7.9,7.8,198,1742,2039,0.097106425
riversidecounty,2189641,ca,riversidecountyca,501681,1528854,0.328141863,22.3,82,7.3,50,34.1,7.2,66.3,350100,67005,21.6,41.1,303.8,85804,84871,175971,0.487603071
sacramentocounty,1418788,ca,sacramentocountyca,250598,825170,0.303692572,30.9,87.7,10.9,23.6,43.8,17,56.4,351900,67151,20.9,32.7,1470.8,43535,62814,110172,0.395154849
sanbenitocounty,55269,ca,sanbenitocountyca,7938,34320,0.231293706,19.7,80.5,1.6,60.8,32.8,3.9,63.7,551500,86958,19.9,39.7,39.8,1408,2306,3867,0.364106543
sanbernardinocounty,2035210,ca,sanbernardinocountyca,491171,1333301,0.368387183,21,80,9.4,54.4,27.3,8,59.8,328200,63362,21,42.1,101.5,98288,57667,160500,0.612386293
sandiegocounty,3095313,ca,sandiegocountyca,389863,1668325,0.233685283,38.8,87.4,5.5,34.1,45,12.6,53.3,563700,78980,23.4,37.6,735.8,106472,175754,293426,0.362858097
sanfranciscocounty,805235,ca,sanfranciscocountyca,20516,80194,0.255829613,58.1,88.5,5.6,15.2,40.2,36,37.6,1097800,112449,34.3,42.9,17179.1,46128,64708,116803,0.394921363
sanjoaquincounty,685306,ca,sanjoaquincountyca,142743,415887,0.343225443,18.8,79.3,8.3,42,30.5,17.4,56.6,342100,64432,23.3,40.9,492.6,20472,19915,41940,0.488125894
sanluisobispocounty,269637,ca,sanluisobispocountyca,50778,195765,0.259382423,35.4,91.3,2,22.9,68.5,4,61.6,574000,73518,10.1,18,81.7,4950,22457,28626,0.172919723
sanmateocounty,718451,ca,sanmateocountyca,32469,277441,0.117030288,51,89.6,2.8,24,38.7,30.6,60.2,1089400,122641,34.8,45.7,1602.2,30914,40894,75507,0.409418994
santabarbaracounty,423895,ca,santabarbaracountyca,64984,230126,0.282384433,34.2,80.9,2.4,46,43.8,6,52.1,577400,74624,23,40.3,155,10340,27596,39952,0.258810573
santaclaracounty,1781642,ca,santaclaracountyca,127785,791091,0.161530089,52.4,88.4,2.8,25,30.6,39,56.4,984000,124055,39.2,53,1381,82931,72818,163130,0.50837369
santacruzcounty,262382,ca,santacruzcountyca,39425,155809,0.253034164,40.8,86.3,1.5,34,56.8,5.3,60.1,756600,82234,17.8,32.1,589.4,6086,22079,29325,0.207536232
shastacounty,177223,ca,shastacountyca,48810,138525,0.352355171,22.2,91.1,1.2,10.5,79.2,3.1,64,252300,54667,5.5,8.3,46.9,1752,10680,13342,0.131314645
sierracounty,3240,ca,sierracountyca,953,3240,0.294135802,17.9,92.4,0.7,12.7,82.1,0.9,75.4,231400,52148,2.3,9.7,3.4,0,242,269,0
siskiyoucounty,44900,ca,siskiyoucountyca,14911,36401,0.409631604,23.2,90.2,1.5,13.2,75.2,1.6,65,198900,45241,5.4,8.9,7.2,411,2867,3489,0.117798796
solanocounty,413344,ca,solanocountyca,51609,244959,0.210684237,26.9,88.4,14.8,27.3,37.2,16.2,61.5,406900,81472,20.1,29.9,503,11202,13085,25724,0.435468823
sonomacounty,483878,ca,sonomacountyca,58825,275418,0.213584443,35.5,88.8,2.1,27.3,62.9,4.6,61.5,609600,81018,16.4,25.6,307.1,9178,41571,52975,0.173251534
stanislauscounty,514453,ca,stanislauscountyca,102473,281454,0.364084362,17.1,78.9,3.5,47.6,40.4,6.1,57.8,291600,60704,20.3,42.9,344.2,13341,18348,33036,0.403832183
suttercounty,94737,ca,suttercountyca,24595,69212,0.355357452,18.2,78.2,2.7,31.9,44.9,17,57.7,279400,59050,22.2,37.3,157.3,1957,3108,5461,0.358359275
tehamacounty,63463,ca,tehamacountyca,24029,53742,0.447117711,15.7,84.5,1.1,25.8,67.3,1.4,65.4,215900,44514,8.4,18.9,21.5,784,3001,3954,0.198280223
trinitycounty,13786,ca,trinitycountyca,5264,12511,0.42074974,19.5,92.4,0.8,7.4,81.9,1.5,68.9,287700,40846,4.7,8.6,4.3,214,838,1123,0.190560997
tularecounty,442179,ca,tularecountyca,134084,272421,0.492194067,14.6,70.8,2.2,65.6,27.7,4,57.1,205000,49687,21.8,51.3,91.7,11023,11406,23310,0.472887173
tuolumnecounty,55365,ca,tuolumnecountyca,14104,50111,0.28145517,20.5,90.7,2,12.7,79.7,1.5,71.3,289200,60108,4.8,7.9,24.9,350,3939,4466,0.078369906
venturacounty,823318,ca,venturacountyca,88472,434104,0.203803697,33.8,85,2.4,43.2,44.7,7.9,63.2,588400,88131,21.8,38.4,446.7,25161,48210,76285,0.329828931
yolocounty,200849,ca,yolocountyca,24912,94492,0.263641366,41.4,86.5,3,31.9,46,15.1,51.6,424900,70228,23.2,38,197.9,4258,8826,13884,0.306683953
yubacounty,72155,ca,yubacountyca,21890,58940,0.371394639,17.1,82.3,4.5,29.1,54,7.3,60.5,257100,58054,12.8,25.3,114.2,958,2345,3432,0.279137529
adamscounty,441603,co,adamscountyco,85507,301196,0.283891552,24.3,83.8,4,40.8,49,4.5,66.2,307600,71202,15.3,29,378.2,10916,22016,34447,0.316892618
alamosacounty,15445,co,alamosacountyco,5338,11717,0.455577366,25,86.9,1.8,47.6,47.1,1.7,57.8,157500,37515,9.1,30.1,21.4,512,1043,1674,0.305854241
arapahoecounty,572003,co,arapahoecountyco,72212,357565,0.201954889,42.8,92.6,11.5,19.8,59.4,6.6,63.5,358200,77469,15.1,23.4,716.7,13912,44785,61297,0.226960536
archuletacounty,12084,co,archuletacountyco,3922,11588,0.338453573,37.2,92.3,0.7,18.4,76.8,1.2,72.2,314400,52221,5,8.7,8.9,211,1711,2070,0.101932367
bacacounty,3788,co,bacacountyco,1127,2515,0.448111332,21.4,86.2,1.1,11.3,83.9,0.4,71,83500,35878,3.2,7.4,1.5,0,424,443,0
bentcounty,6499,co,bentcountyco,2683,5572,0.481514716,11.4,84.8,7.3,32.2,57,1.5,59.6,81000,30900,4.6,12.4,4.3,99,199,344,0.287790698
bouldercounty,294567,co,bouldercountyco,38722,194051,0.19954548,62.1,95,1.2,14,77.4,5,62.2,497300,83019,10.7,15.7,405.6,4078,38265,44183,0.092297943
broomfieldcounty,55889,co,broomfieldcountyco,6273,44501,0.140963124,55.7,96.9,1.5,12.7,76.4,6.9,65.2,413500,96416,8.9,12.2,1691.9,848,5182,6430,0.131881804
chaffeecounty,17809,co,chaffeecountyco,4584,14693,0.311985299,33.8,93.5,1.8,10,85.2,0.9,77.8,357800,55771,3.8,6.8,17.6,118,2526,2847,0.041447137
cheyennecounty,1836,co,cheyennecountyco,463,1491,0.310529846,19.2,91.6,0.8,11,83.8,2.3,71.4,108000,53977,9,15.5,1,0,244,250,0
clearcreekcounty,9088,co,clearcreekcountyco,1601,8467,0.189087044,48.1,98.6,1,7.6,87.8,1.2,77.2,378300,67060,2.2,6.7,23,69,1028,1123,0.061442565
conejoscounty,8256,co,conejoscountyco,3634,6883,0.527967456,21,88,1,51.3,45.7,0.9,79.4,120500,36084,1.8,29.5,6.4,385,353,758,0.507915567
costillacounty,3524,co,costillacountyco,2043,3524,0.579738933,19.3,81,2.1,61.2,33.9,1.6,69,113000,30965,9.2,43.5,2.9,128,93,235,0.544680851
crowleycounty,5823,co,crowleycountyco,2734,4990,0.547895792,9,86.1,10.7,32.8,52.6,1.2,72.5,79400,42135,3.4,11.1,7.4,0,211,247,0
custercounty,4255,co,custercountyco,1356,3493,0.388204981,32.5,93.6,1.6,5.8,89.7,0.5,87.2,281900,53119,3.1,5.6,5.8,0,614,633,0
deltacounty,30952,co,deltacountyco,10756,27270,0.394426109,21.7,90.7,0.9,15.3,81.2,0.9,73.6,241500,45269,4.6,9.6,27.1,187,2790,3114,0.060051381
denvercounty,600158,co,denvercountyco,102890,314896,0.326742798,49.4,88,9.8,29.3,54.9,4.1,49.9,390600,68592,15,25.5,3922.6,18049,57077,79097,0.228188174
dolorescounty,2064,co,dolorescountyco,770,2064,0.373062016,24.1,93.8,0.4,6.3,87.8,0.3,81.6,116600,45972,1.2,2.7,1.9,0,199,206,0
douglascounty,285465,co,douglascountyco,20201,233903,0.086364861,58,98.1,1.7,9.1,81.3,5.4,79,468700,119730,7.6,9.5,339.7,3444,26276,30974,0.11119003
eaglecounty,52197,co,eaglecountyco,9731,40376,0.241009511,47.2,88.3,1.5,29.7,67,1.3,69.8,562300,84790,17.5,28.8,31,817,8007,9302,0.087830574
elpasocounty,622263,co,elpasocountyco,120872,479774,0.251935286,38.5,94.2,6.9,17.7,68.6,3.1,64,275000,68779,7,11.9,292.6,8463,43351,54247,0.156008627
elbertcounty,23086,co,elbertcountyco,3507,21995,0.159445328,35.8,96.7,1.4,7.6,87.7,1.2,90,463600,99199,2.7,4.5,12.5,110,2438,2585,0.042553191
fremontcounty,46824,co,fremontcountyco,12465,41638,0.299365964,18.5,90.1,4,13.5,78.8,1,75,174000,49409,2.7,7,30.5,189,2757,3152,0.059961929
garfieldcounty,56389,co,garfieldcountyco,11823,44495,0.265715249,31,88.1,1.3,29.3,67.4,0.9,66.9,360600,75937,14.8,26.6,19.1,1052,6951,8334,0.126229902
gilpincounty,5441,co,gilpincountyco,739,5441,0.135820621,39.6,98.5,1.3,7.1,87.6,1.5,79.6,353400,76429,4.6,6.7,36.3,74,306,395,0.187341772
grandcounty,14843,co,grandcountyco,3014,12294,0.245160241,38,94.6,1,9.6,86.7,0.9,68.5,308200,71198,5.4,6,8,128,2139,2342,0.054654142
gunnisoncounty,15324,co,gunnisoncountyco,2895,9398,0.308044265,56.2,97.4,0.6,9.6,86.8,0.9,61.4,367300,56577,3.8,10.7,4.7,124,2803,3086,0.040181465
hinsdalecounty,843,co,hinsdalecountyco,194,559,0.347048301,45.7,93.7,1.5,5.7,88.4,1,71.6,350000,56339,1.4,3.3,0.8,0,169,188,0
huerfanocounty,6711,co,huerfanocountyco,1610,4495,0.358175751,21.1,92.4,1.4,33.9,61.6,0.9,71.8,161600,38137,2.3,9.5,4.2,63,520,617,0.102106969
jacksoncounty,1394,co,jacksoncountyco,386,1153,0.334778838,20,87.4,0.1,12.6,84.4,0.7,79.9,196700,53300,5.7,8.9,0.9,0,286,313,0
jeffersoncounty,534543,co,jeffersoncountyco,69254,395183,0.175245393,45.2,94.5,1.5,15.6,77.7,3.1,70.7,397700,82986,6.4,10.6,699.5,7211,52256,61610,0.117042688
kiowacounty,1398,co,kiowacountyco,498,1398,0.356223176,21.4,95.7,0.6,8.4,88.1,0.6,74.3,86500,41731,0.6,2.7,0.8,0,167,177,0
kitcarsoncounty,8270,co,kitcarsoncountyco,2228,6397,0.34828826,18.7,89.5,0.9,19.2,77.5,0.7,66.4,122400,49349,7.5,12.6,3.8,44,706,779,0.05648267
laplatacounty,51334,co,laplatacountyco,9858,42088,0.234223532,44.2,95.5,0.7,12.8,78.3,0.7,70.7,395600,68685,2.7,9.4,30.3,605,6967,7893,0.076650196
lakecounty,7310,co,lakecountyco,2610,5855,0.445772844,32.3,83.7,1,35.4,61,0.8,68.4,232100,50565,9.4,18.5,19.4,241,672,959,0.251303441
larimercounty,299630,co,larimercountyco,56843,231669,0.245362996,47.3,95.9,1.2,11.9,82.1,2.4,65,363800,71881,5.6,9.3,115.4,3075,30704,34949,0.08798535
lasanimascounty,15507,co,lasanimascountyco,5629,13607,0.413684133,19.5,87.9,2.2,40.4,54,1.3,67.4,151100,41817,5.3,14.3,3.2,306,937,1362,0.224669604
lincolncounty,5467,co,lincolncountyco,1303,4017,0.324371421,12.6,90.9,5.5,14.8,77,1,70.6,147100,47258,4.4,9.7,2.1,44,257,323,0.13622291
logancounty,22709,co,logancountyco,6431,18517,0.347302479,20.2,89.6,4.5,17.2,75.6,1,65.2,157900,53318,4.5,10.3,12.4,61,1355,1552,0.039304124
mesacounty,146723,co,mesacountyco,35477,116840,0.303637453,28.2,90.5,0.9,14.8,81.1,1,68.2,227000,55379,4.1,6.8,44.1,1108,12509,14632,0.07572444
mineralcounty,712,co,mineralcountyco,127,474,0.267932489,46.5,97.4,0.3,6.2,91.2,0.5,86.6,308600,62188,1.3,2.3,0.8,0,275,284,0
moffatcounty,13795,co,moffatcountyco,3819,10376,0.36806091,17.6,88.7,0.8,16.2,79.7,0.8,64.8,182300,57229,6.9,13.8,2.9,57,1157,1282,0.044461778
montezumacounty,25535,co,montezumacountyco,7837,21689,0.361335239,29.6,90,0.5,12.6,72.1,0.7,72.1,222800,49470,2.9,11.3,12.6,186,2348,2798,0.066476054
montrosecounty,41276,co,montrosecountyco,12198,34394,0.354654882,25.2,89,0.8,20.9,75.8,0.8,72.7,224400,50489,7.7,17.5,18.4,473,4540,5163,0.091613403
morgancounty,28159,co,morgancountyco,7081,20501,0.345397785,17.5,78.9,4.2,36.5,57.5,0.8,64,201200,53682,15.5,27,22,277,2300,2757,0.100471527
oterocounty,18831,co,oterocountyco,6348,13903,0.456592102,18.6,87.2,1.7,42.2,53.6,0.9,63.9,94900,38169,5,13.3,14.9,279,898,1267,0.220205209
ouraycounty,4436,co,ouraycountyco,906,3766,0.240573553,47.8,97.8,0.1,6.5,90.2,0.8,72.3,449000,66417,1.7,8.5,8.2,25,963,1070,0.023364486
parkcounty,16206,co,parkcountyco,2996,15628,0.191707192,29.8,97.7,0.9,6.4,89.1,0.9,86.4,327200,73622,2.4,2.5,7.4,75,2003,2163,0.034674064
phillipscounty,4442,co,phillipscountyco,805,2611,0.308310992,23.8,88.5,1.1,20,77.3,0.5,71.9,158500,51155,14.1,22.6,6.5,0,411,485,0
pitkincounty,17148,co,pitkincountyco,2320,12373,0.187505051,60.8,96.9,1.1,10.5,84.9,2,65,615900,78935,14.4,16.2,17.7,272,4309,4855,0.056024717
prowerscounty,12551,co,prowerscountyco,3590,9424,0.380942275,18.3,80.5,1,39,57.5,0.6,65.4,106100,41929,10.3,22.9,7.7,107,670,829,0.12907117
pueblocounty,159063,co,pueblocountyco,54092,134343,0.402641001,21.8,89.7,2.6,43.2,51.7,1.1,64.7,164600,46783,3,12.3,66.7,2779,7364,10685,0.26008423
rioblancocounty,6666,co,rioblancocountyco,1385,4839,0.28621616,22.7,91.9,1.2,10.7,84.2,0.7,70.8,197100,54357,3,5.4,2.1,36,796,870,0.04137931
riograndecounty,11982,co,riograndecountyco,2877,7572,0.379952456,24.5,87,1.1,44.4,51.9,0.7,63.2,172000,39123,4.1,24.7,13.1,349,860,1293,0.269914927
routtcounty,23509,co,routtcountyco,3970,16989,0.233680617,49.8,96.8,1.1,6.9,89.6,0.9,71.2,535300,77443,5,6.3,10,213,4558,4956,0.042978208
saguachecounty,6108,co,saguachecountyco,1898,4025,0.471552795,22.1,83.1,1.2,36.4,58.1,0.9,71.5,152700,38571,10,27.5,1.9,40,679,740,0.054054054
